Function Name,Self (ms),Duration (ms),Location
createInsertSchema,1.267,1.267,../core/src/schema.ts:425:30
protectedFetch,1.254,15.568,src/router/channel.ts:102:10
filter,1.233,3.585,src/router/messages.ts:61:10
extend,1.205,4.001,../core/src/schema.ts:405:13
map,1.203,3.034,../core/src/search.ts:430:24
array,1.200,529.642,../core/src/zodSchemas/channelSchemas.ts:104:34
all,1.200,3.116,src/utils/protected-procedures.ts:135:16
relations,1.185,3.809,../core/src/schema.ts:126:32
upsertMany,1.174,45.868,../core/src/channel.ts:324:8
toBitfield,1.170,1.170,../core/src/utils/bitfieldUtils.ts:31:7
parse,1.169,653.136,../core/src/auth.ts:717:41
map,1.149,1.587,../core/src/utils/operations.ts:34:7
merge,1.145,11.684,../core/src/zodSchemas/userServerSettingsSchemas.ts:36:41
validatePermissionsOrFormatData,1.142,1.142,src/utils/protected-procedures.ts:136:27
stripPrivateChannelData,1.139,1.198,../core/src/pages.ts:371:11
protectedMutation,1.127,1.127,src/router/server.ts:52:27
findFirst,1.045,3.694,../core/src/server.ts:127:13
input,1.035,10.428,src/bot/index.ts:39:17
Identifier: Session,1.030,4.775,../core/src/auth.ts:518:9
map,0.986,0.986,src/router/messages.ts:52:33
router,0.979,10.779,src/router/auth.ts:10:26
input,0.972,61.083,src/router/dashboard.ts:23:12
mysqlTable,0.960,6.765,../core/src/schema.ts:48:9
pick,0.956,7.137,../core/src/message.ts:108:9
then,0.945,3.337,../core/src/user-server-settings.ts:116:7
input,0.942,6.807,src/router/server.ts:118:18
input,0.924,11.829,src/router/discord-accounts.ts:40:11
"Identifier: ""feedback""",0.921,1.021,../core/src/analytics.events.ts:108:14
OpenBracketToken: any,0.920,0.920,../core/src/utils/operations.ts:65:19
getPosthogQueryClientForDashboard,0.918,1.028,../core/src/analytics.ts:87:9
one,0.914,0.914,../core/src/schema.ts:555:9
input,0.914,8.934,src/router/discord-accounts.ts:30:7
input,0.908,5.600,src/router/user-server-settings.ts:157:20
query,0.905,14.125,src/bot/index.ts:32:10
mutation,0.899,8.418,src/bot/index.ts:97:12
getPosthogQueryClientForDashboard,0.895,56.447,../core/src/analytics.ts:136:9
flatMap,0.891,0.891,../core/src/search.ts:371:33
psDrizzle,0.885,231.947,../core/src/db.ts:36:13
findFirst,0.877,0.877,../core/src/server.ts:161:15
relations,0.869,18.686,../core/src/schema.ts:306:69
object,0.860,9.584,../core/src/search.ts:140:25
and,0.850,1.002,../core/src/user-server-settings.ts:160:9
router,0.849,301.881,src/router/channel.ts:91:29
pipe,0.849,174.491,../env/src/shared.ts:11:13
findMany,0.837,2.002,../core/src/user-server-settings.ts:159:20
mysqlEnum,0.829,1.278,../core/src/schema.ts:276:8
mysqlTable,0.775,0.775,../core/src/schema.ts:189:9
router,0.773,1089.084,src/router/index.ts:10:25
findMany,0.761,1.640,../core/src/message.ts:296:9
input,0.753,4.860,src/router/messages.ts:39:9
then,0.741,17.222,../core/src/message.ts:244:9
merge,0.730,10.539,../core/src/zodSchemas/userServerSettingsSchemas.ts:36:41
select,0.724,2.000,../core/src/auth.ts:207:11
from,0.722,0.722,../core/src/server.ts:128:36
from,0.699,0.699,../core/src/db.ts:30:36
protectedMutationFetchFirst,0.697,12.123,src/router/user-server-settings.ts:101:39
merge,0.697,3.866,src/router/channel.ts:32:13
input,0.690,14.901,src/router/user-server-settings.ts:94:16
router,0.688,359.377,src/router/server.ts:72:28
protectedMutationFetchFirst,0.684,5.619,src/router/channel.ts:140:12
omit,0.681,6.507,../core/src/zodSchemas/userServerSettingsSchemas.ts:24:42
protectedMutation,0.672,1.799,src/router/server.ts:52:8
omit,0.669,13.108,../core/src/zodSchemas/serverSchemas.ts:26:30
string,0.666,10.681,../env/src/shared.ts:77:32
router,0.660,218.499,src/router/user-server-settings.ts:78:37
json,0.638,0.638,../core/src/schema.ts:502:10
object,0.636,0.636,src/router/channel.ts:36:9
mutation,0.623,9.393,src/bot/index.ts:41:13
eq,0.622,8.430,../core/src/channel.ts:277:11
query,0.620,60.111,src/router/dashboard.ts:25:10
search,0.619,5.450,../core/src/search.ts:330:8
merge,0.618,0.661,../core/src/zodSchemas/discordAccountSchemas.ts:23:37
findServerByAliasOrId,0.611,11.824,../core/src/server.ts:29:8
updateUserServerSettings,0.608,2.055,../core/src/user-server-settings.ts:252:10
findFirst,0.601,0.860,../core/src/auth.ts:410:15
map,0.596,7.733,../core/src/message.ts:139:8
Identifier: Process,0.593,0.593,../env/src/shared.ts:4:11
Identifier: CustomMappingProperty<{ u,0.587,0.587,../core/src/search.ts:59:6
protectedFetch,0.580,16.723,src/router/dashboard.ts:108:35
protectedMutationFetchFirst,0.577,6.196,src/router/channel.ts:132:15
query,0.573,1.641,src/router/auth.ts:29:58
protectedFetch,0.570,59.182,src/router/dashboard.ts:26:22
bulk,0.567,3.456,../core/src/search.ts:370:34
query,0.565,13.618,src/router/channel.ts:110:18
map,0.561,1.917,src/utils/protected-procedures.ts:135:29
Identifier: { name: string; type: num,0.555,53.909,../core/src/pages.ts:348:32
input,0.554,17.434,src/router/dashboard.ts:106:21
mysqlTable,0.540,7.305,../core/src/schema.ts:46:4
mysqlEnum,0.531,2.162,../core/src/schema.ts:276:8
input,0.528,16.305,src/router/channel.ts:99:10
select,0.522,0.522,../core/src/channel.ts:351:19
router,0.512,45.974,src/router/channel.ts:91:37
findFirst,0.510,4.446,../core/src/server.ts:124:51
findMany,0.504,5.351,../core/src/message.ts:369:20
stripPrivateServerData,0.499,55.020,../core/src/pages.ts:370:10
query,0.496,6.243,src/router/auth.ts:29:26
mutation,0.490,4.693,src/router/user-server-settings.ts:174:13
map,0.488,13.152,../core/src/discord-account.ts:91:32
input,0.485,63.491,src/router/messages.ts:24:22
input,0.483,6.408,src/router/dashboard.ts:82:11
