Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
loggerLink,22.871,22.871,1,../../../packages/trpc/react/trpc.ts:72:15,22.871
cva,22.783,1.899,12,../../../packages/ui/components/button/Button.tsx:42:29,5.482
some,22.351,0.745,30,../../../packages/features/bookings/lib/handleSeats/reschedule/owner/combineTwoSeatedBookings.ts:17:33,9.737
getLuckyUser_requiresDataToBePreFetched,21.919,3.131,7,../../../packages/lib/server/getLuckyUser.ts:439:24,16.687
Identifier: { ClearIndicator: <Option,21.747,4.349,5,../../../packages/ui/components/form/checkbox/MultiSelectCheckboxes.tsx:35:11,10.430
Identifier: { children: ReactNode; },21.503,21.503,1,../../../packages/emails/src/components/BaseEmailHtml.tsx:15:5,21.503
normalizeProfile,21.273,3.039,7,../../../packages/lib/server/repository/profile.ts:286:11,12.243
getAllColumns,21.181,21.181,1,../../../packages/features/data-table/hooks/useFilterableColumns.ts:13:10,21.181
Identifier: ForwardRefExoticComponent,21.124,3.521,6,../../../packages/platform/atoms/availability/AvailabilitySettings.tsx:636:32,10.142
getEnabledAppsFromCredentials,21.032,4.206,5,../../../packages/lib/getConnectedApps.ts:116:28,14.051
handlePayment,20.420,2.042,10,../../../packages/features/bookings/lib/handleNewBooking.ts:1811:41,7.404
useState,20.135,0.694,29,../../../packages/app-store/mock-payment-app/components/EventTypeAppCardInterface.tsx:37:46,4.661
onChange,20.113,2.514,8,../../../packages/features/ee/organizations/components/TeamInviteFromOrg.tsx:83:7,6.256
Identifier: { identity_provider: stri,20.036,10.018,2,../../../packages/platform/atoms/cal-provider/CalProvider.tsx:18:45,13.494
slice,19.988,2.221,9,../../../packages/app-store/routing-forms/pages/routing-link/getServerSideProps.ts:8:34,7.361
expect,19.861,0.296,67,src/modules/teams/event-types/controllers/teams-event-types.controller.e2e-spec.ts:259:76,3.679
withSelectedCalendars,18.755,3.751,5,../../../packages/features/bookings/lib/handleNewBooking/getEventTypesFromDB.ts:173:33,6.134
dayjs,18.380,0.613,30,../../../packages/features/embed/Embed.tsx:383:28,7.026
addEventListener,18.331,1.666,11,../../../packages/embeds/embed-core/src/embed.ts:940:35,12.076
keys,18.239,0.829,22,../../../packages/platform/atoms/event-types/hooks/useEventTypeForm.ts:266:23,9.864
Identifier: { identity_provider: stri,18.153,9.077,2,../../../packages/platform/atoms/cal-provider/CalProvider.tsx:23:45,10.669
abs,17.721,8.860,2,../../../packages/features/eventtypes/components/tabs/advanced/EventAdvancedTab.tsx:824:64,11.104
cloneElement,17.527,3.505,5,../../../packages/features/shell/Shell.tsx:56:38,14.880
getUsersAvailability,17.419,2.488,7,../../../packages/trpc/server/routers/viewer/slots/util.ts:1047:43,6.133
Component,17.353,17.353,1,../../../packages/emails/src/renderEmail.ts:12:41,17.353
rescheduleSeatedBooking,17.263,5.754,3,../../../packages/features/bookings/lib/handleSeats/handleSeats.ts:95:52,14.885
sort,17.037,2.840,6,../../../packages/features/eventtypes/components/tabs/setup/EventSetupTab.tsx:205:17,6.931
Identifier: (<Props extends {}>(Compo,16.836,8.418,2,../../../packages/features/bookings/components/AvailableTimes.tsx:164:16,12.165
"Identifier: <K extends TFuncKey<N, TK",16.744,2.093,8,../../../packages/emails/src/templates/OrganizationAdminNoSlots.tsx:33:9,3.899
read,16.729,4.182,4,../../../packages/lib/server/resizeBase64Image.ts:24:22,14.444
getQueueAndAttributeWeightData,16.707,5.569,3,../../../packages/lib/server/getLuckyUser.ts:911:49,16.215
onTimeSelect,16.500,4.125,4,../../../packages/features/bookings/components/AvailableTimes.tsx:163:13,7.043
Identifier: { identity_provider: stri,16.402,8.201,2,../../../packages/platform/atoms/cal-provider/CalProvider.tsx:20:45,10.433
Identifier: Window & typeof globalThi,16.369,4.092,4,../../../packages/embeds/embed-core/src/FloatingButton/FloatingButton.ts:105:34,15.273
sendCancelledEmailsAndSMS,16.360,2.727,6,../../../packages/features/credentials/handleDeleteCredential.ts:318:45,12.908
Identifier: UserFindUniqueArgs<Intern,16.351,16.351,1,../../../packages/prisma/extensions/exclude-locked-users.ts:44:4,16.351
execSync,16.250,8.125,2,scripts/docker-start.ts:4:8,15.160
Identifier: ComponentType<{ eventType,16.225,16.225,1,../../../packages/platform/atoms/event-types/wrappers/EventTypeWebWrapper.tsx:215:10,16.225
"Identifier: ""a"" | ""button""",15.303,7.651,2,../../../packages/ui/components/dropdown/Dropdown.tsx:148:18,8.625
Identifier: { name: string | null; em,15.236,5.079,3,../../../packages/trpc/server/routers/loggedInViewer/updateProfile.handler.ts:372:15,10.097
writeText,14.935,4.978,3,../../../packages/features/ee/teams/components/TeamListItem.tsx:114:11,10.708
set,14.832,2.119,7,../../../packages/embeds/embed-core/src/embed.ts:458:26,7.353
calculatePadding,14.779,14.779,1,../../../packages/emails/src/components/CallToAction.tsx:30:11,14.779
flat,14.663,2.933,5,../../../node_modules/@calcom/trpc/server/routers/loggedInViewer/setDestinationCalendar.handler.ts:23:45,8.875
getOrg,14.611,2.435,6,../../../packages/lib/server/queries/teams/index.ts:178:20,5.158
StringLiteral: (string | null)[][],14.501,14.501,1,../../../node_modules/tzdata/timezone-data.json:1:10,14.501
getDynamicEventType,14.286,14.286,1,../../../packages/trpc/server/routers/viewer/slots/util.ts:167:9,14.286
isTeamAdmin,14.207,1.579,9,../../../packages/features/ee/sso/lib/saml.ts:43:35,9.228
"Identifier: { ""/*"": string; name: str",14.171,14.171,1,../../../packages/app-store/apps.metadata.generated.ts:110:32,14.171
Identifier: Omit<EmbedButtonProps<T> ,13.781,13.781,1,../../../packages/features/embed/Embed.tsx:1417:15,13.781
attendeeRescheduleSeatedBooking,13.760,4.587,3,../../../packages/features/bookings/lib/handleSeats/reschedule/rescheduleSeatedBooking.ts:132:26,13.418
Identifier: Query,13.492,6.746,2,../../../packages/features/Segment.tsx:86:10,10.947
Identifier: typeof HeadingNode,13.449,13.449,1,../../../packages/ui/components/editor/Editor.tsx:59:9,13.449
Identifier: number | null,13.263,1.474,9,../../../packages/app-store/routing-forms/trpc/formMutation.handler.ts:359:11,9.630
stringify,13.083,0.354,37,../../../packages/app-store/salesforce/lib/CrmService.ts:88:22,3.833
"Identifier: { language: ""fr"" | ""en"" |",13.058,4.353,3,../../../packages/lib/hooks/useLocale.ts:11:11,12.887
onOpenChange,12.894,4.298,3,../../../packages/app-store/office365video/components/AccountDialog.tsx:18:13,8.118
useInfiniteQuery,12.706,2.118,6,../../../packages/features/kbar/Kbar.tsx:41:8,6.822
Identifier: EmbedButtonProps<ElementT,12.550,12.550,1,../../../packages/features/embed/EventTypeEmbed.tsx:23:36,12.550
setMenuOpen,12.491,3.123,4,../../../packages/features/shell/user-dropdown/UserDropdown.tsx:74:7,4.809
createEvent,12.107,1.730,7,../../../packages/emails/lib/generateIcsString.ts:57:32,10.407
splitLink,12.034,3.008,4,../../../packages/trpc/react/trpc.ts:80:19,8.801
Identifier: { title: string; location,11.843,5.921,2,../../../packages/features/ee/round-robin/roundRobinReassignment.ts:73:22,9.994
useFilterValue,11.837,2.959,4,../../../packages/features/data-table/components/filters/DateRangeFilter.tsx:76:22,7.977
from,11.704,0.532,22,../../../packages/trpc/server/routers/viewer/bookings/get.handler.ts:462:21,2.123
Identifier: { notes: string | null; i,11.698,11.698,1,../../../packages/trpc/server/routers/loggedInViewer/outOfOffice.handler.ts:169:24,11.698
toDate,11.583,1.930,6,../../../packages/features/insights/server/routing-events.ts:235:62,6.867
optional,11.540,0.641,18,../../../packages/trpc/server/routers/viewer/availability/schedule/get.schema.ts:4:14,7.256
getMailerOptions,11.520,1.280,9,../../../packages/emails/templates/organizer-requested-to-reschedule-email.ts:17:11,3.798
