Function Name,Self (ms),Duration (ms),Location
findMany,4.838,6.339,../../packages/api/src/router/conversation.ts:28:75
handleSubmit,4.815,4.815,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/editFieldSheet.tsx:132:11
clerkMiddleware,4.813,14.364,src/middleware.ts:16:15
pick,4.790,4.790,../../packages/db/src/schema/conversations/validation.ts:8:35
map,4.780,4.780,src/components/formViewer/DynamicAnswerInput/multiChoiceInput.tsx:29:11
literal,4.779,4.779,../../packages/db/src/schema/formFields/validation.ts:41:15
promise,4.770,10.424,src/app/api/form/[formId]/conversation/route.ts:20:10
require,4.742,13.438,../../packages/tailwind-config/src/tailwind.config.ts:4:23
Identifier: any,4.721,4.721,src/app/(protectedPage)/(mainPage)/_components/navigationCardContent.tsx:133:11
Identifier: any,4.710,4.710,src/app/changelog/_components/commitListItem.tsx:11:11
Identifier: any,4.661,4.661,src/components/common/browserWindow.tsx:121:30
Identifier: number,4.614,4.614,src/components/formViewer/DynamicAnswerInput/multiChoiceInput.tsx:15:32
query,4.600,49.579,../../packages/api/src/router/conversation.ts:59:13
Identifier: ZodObject<extendShape<Pic,4.558,9.348,../../packages/db/src/schema/conversations/validation.ts:13:43
forwardRef,4.535,4.646,../../packages/ui/src/components/ui/checkbox.tsx:21:5
forwardRef,4.529,4.529,../../packages/ui/src/components/ui/scroll-area.tsx:17:5
input,4.528,4.528,../../packages/api/src/router/workspace.ts:54:10
partial,4.514,4.514,../../packages/db/src/schema/formFields/validation.ts:72:36
forwardRef,4.488,8.404,../../packages/ui/src/components/ui/table.tsx:97:38
pgTable,4.476,8.913,../../packages/db/src/schema/workspaces/workspace.ts:5:25
preventDefault,4.470,4.470,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/editFieldItem.tsx:144:11
relations,4.459,70.397,../../packages/db/src/schema/forms/form.ts:47:29
omit,4.429,4.621,../../packages/db/src/schema/formFields/validation.ts:64:37
"Identifier: (<Props, TagName extends ",4.406,5.296,src/components/formViewer/askScreen.tsx:25:11
forwardRef,4.371,8.140,../../packages/ui/src/components/ui/accordion.tsx:37:7
Identifier: { code: string; name: str,4.354,4.354,../../packages/react/src/utils/streamUtils.ts:41:26
pick,4.336,81.165,src/app/api/form/[formId]/conversation/route.ts:27:29
object,4.301,4.473,../../packages/db/src/schema/conversations/validation.ts:23:42
input,4.295,5.662,../../packages/api/src/router/conversation.ts:18:10
cn,4.288,4.288,../../packages/ui/src/components/ui/calendar.tsx:23:19
map,4.285,12.071,src/app/(protectedPage)/(mainPage)/dashboard/_components/recentResponseCard.tsx:43:23
cn,4.283,4.283,src/components/common/statsCard.tsx:24:11
input,4.262,7.622,../../packages/api/src/router/form.ts:282:14
Identifier: any,4.214,4.214,src/components/common/listItem.tsx:4:11
forwardRef,4.159,4.159,../../packages/ui/src/components/ui/toast.tsx:45:3
input,4.139,10.320,../../packages/api/src/router/form.ts:249:9
useQuery,4.134,5.922,src/app/(protectedPage)/(mainPage)/_components/navigationCardContent.tsx:23:8
animate,4.133,9.351,src/components/formViewer/welcomeScreen.tsx:38:20
omit,4.108,4.108,../../packages/db/src/schema/conversations/validation.ts:15:41
forwardRef,4.033,5.007,../../packages/ui/src/components/ui/card.tsx:51:38
"Identifier: (<Props, TagName extends ",4.033,4.033,src/components/formViewer/askScreen.tsx:33:11
Identifier: ForwardRefExoticComponent,4.031,4.031,src/components/common/confirmAction.tsx:30:7
useSensors,4.014,5.375,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/index.tsx:67:18
query,3.974,9.774,../../packages/api/src/router/conversation.ts:154:13
Identifier: any,3.960,3.960,src/app/(protectedPage)/organizations/page.tsx:5:11
timestamp,3.953,3.953,../../packages/db/src/schema/base.ts:11:13
object,3.944,3.944,../../packages/db/src/schema/forms/validation.ts:37:34
forwardRef,3.930,3.930,../../packages/ui/src/components/ui/tooltip.tsx:17:54
setError,3.928,5.172,../../packages/react/src/hooks/useConvoForm.ts:169:37
forwardRef,3.917,4.297,../../packages/ui/src/components/ui/carousel.tsx:48:3
Identifier: ForwardRefExoticComponent,3.917,3.917,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:144:13
forwardRef,3.915,3.915,../../packages/ui/src/components/ui/table.tsx:98:11
forwardRef,3.902,3.902,../../packages/ui/src/components/ui/textarea.tsx:10:13
Identifier: OrganizationSwitcherExpor,3.868,11.774,src/app/(protectedPage)/(mainPage)/_components/navigationCardContent.tsx:124:7
Identifier: any,3.845,3.845,src/app/(protectedPage)/forms/[formId]/conversations/_components/conversationsSidebar.tsx:96:11
useMutation,3.837,4.058,src/app/(protectedPage)/forms/[formId]/_components/formDesignEditor/index.tsx:33:26
cn,3.811,8.168,../../packages/ui/src/components/ui/calendar.tsx:20:15
forwardRef,3.769,3.769,../../packages/ui/src/components/ui/accordion.tsx:37:8
Identifier: any,3.744,3.744,src/app/(protectedPage)/forms/[formId]/conversations/_components/conversationDetail.tsx:33:11
Identifier: any,3.734,4.092,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:175:7
"Identifier: (<Props, TagName extends ",3.733,5.184,src/components/common/typingEffect.tsx:54:6
map,3.710,3.710,../../packages/ai/src/systemPrompt.ts:130:7
forwardRef,3.638,3.638,../../packages/ui/src/components/ui/select.tsx:117:3
Identifier: any,3.631,3.631,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/generateFormModal.tsx:247:17
map,3.612,3.612,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/index.tsx:172:9
cn,3.593,3.593,src/app/layout.tsx:76:7
map,3.591,5.929,src/app/(protectedPage)/(mainPage)/_components/usageCard.tsx:22:9
Identifier: any,3.585,3.585,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:179:9
Identifier: any,3.578,3.578,src/app/(formSubmissionPage)/view/[formId]/_components/header.tsx:21:11
text,3.519,10.444,../../packages/db/src/schema/base.ts:7:6
Identifier: <TFieldValues extends Fie,3.510,3.510,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/inputConfigurationEditor/textInputConfigurationEditor.tsx:21:7
query,3.484,3.484,../../packages/api/src/router/form.ts:159:12
createInsertSchema,3.467,3.467,../../packages/db/src/schema/formFields/validation.ts:54:67
forwardRef,3.436,3.436,../../packages/ui/src/components/ui/dropdown-menu.tsx:159:30
filter,3.423,3.423,src/app/api/form/[formId]/conversation/route.ts:103:37
query,3.421,10.153,../../packages/api/src/router/metrics.ts:76:34
insert,3.411,6.492,../../packages/api/src/router/conversation.ts:104:29
findFirst,3.386,4.184,../../packages/api/src/router/form.ts:187:44
map,3.363,3.363,src/app/changelog/_components/commitList.tsx:14:7
forwardRef,3.297,4.222,../../packages/ui/src/components/ui/separator.tsx:8:18
pgTable,3.296,21.120,../../packages/db/src/schema/conversations/conversation.ts:8:52
input,3.286,25.151,../../packages/api/src/router/form.ts:26:10
mutation,3.194,3.194,../../packages/api/src/router/workspace.ts:90:15
Identifier: { border: string; input: ,3.186,6.164,../../packages/tailwind-config/src/tailwind.config.ts:16:12
Identifier: any,3.183,3.183,src/app/(protectedPage)/(mainPage)/_components/pageShell.tsx:12:11
forwardRef,3.176,3.176,../../packages/ui/src/components/ui/dialog.tsx:49:9
extend,3.175,7.283,../../packages/db/src/schema/conversations/validation.ts:15:13
"Identifier: ({ children, className, }",3.174,3.174,src/app/(landingPage)/page.tsx:56:7
omit,3.167,3.167,../../packages/ai/src/systemPrompt.ts:13:29
Identifier: any,3.150,3.150,src/app/(protectedPage)/(mainPage)/_components/usageCard.tsx:49:11
use,3.141,8.851,../../packages/api/src/procedures/authProtectedProcedure.ts:14:38
input,3.136,3.136,../../packages/api/src/router/conversation.ts:142:28
handleSubmit,3.123,3.123,src/app/(protectedPage)/forms/[formId]/_components/formEditor/fieldsEditorCard/addFieldItemEditor.tsx:109:11
keys,3.101,4.309,../../packages/rate-limiter/src/rateLimit.ts:77:40
preventDefault,3.095,3.095,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/pageHeader.tsx:143:11
map,3.081,3.081,../../packages/ui/src/components/ui/toaster.tsx:16:11
partial,3.064,3.064,../../packages/db/src/schema/conversations/validation.ts:50:39
object,3.026,15.975,src/app/api/form/[formId]/route.ts:6:27
"StringLiteral: "" """,3.000,3.000,src/app/(landingPage)/_components/screenshotsSlider.tsx:23:19
map,2.994,19.013,../../packages/api/src/router/conversation.ts:292:13
init,2.993,2.993,sentry.client.config.ts:5:42
"Identifier: (<Props, TagName extends ",2.985,3.804,src/app/(formSubmissionPage)/view/[formId]/_components/formDesignLayout.tsx:25:33
pick,2.979,2.979,../../packages/db/src/schema/conversations/validation.ts:79:16
Identifier: any,2.962,2.962,src/components/common/cardShell.tsx:29:30
useForm,2.924,3.738,src/app/(protectedPage)/forms/[formId]/_components/formDesignEditor/basicDesignCard.tsx:67:42
extend,2.923,7.437,../../packages/db/src/schema/formFields/validation.ts:72:13
use,2.918,7.425,../../packages/api/src/procedures/orgProtectedProcedure.ts:4:37
map,2.914,2.914,src/app/(protectedPage)/(mainPage)/dashboard/_components/recentResponseCard.tsx:88:13
forwardRef,2.887,2.887,../../packages/ui/src/components/ui/tabs.tsx:25:20
Identifier: string,2.858,2.977,../../packages/tailwind-config/src/tailwind.config.ts:17:14
query,2.856,6.396,../../packages/api/src/router/conversation.ts:345:13
object,2.833,13.462,src/app/api/form/[formId]/conversation/route.ts:19:27
preventDefault,2.819,2.819,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/formListItem.tsx:73:11
cn,2.815,2.815,src/components/formViewer/welcomeScreen.tsx:46:11
map,2.811,2.811,src/app/(protectedPage)/forms/[formId]/_components/formDesignEditor/basicDesignCard.tsx:132:21
forwardRef,2.798,4.029,../../packages/ui/src/components/ui/accordion.tsx:46:48
input,2.797,9.207,../../packages/api/src/router/conversation.ts:208:23
values,2.792,3.081,../../packages/api/src/router/conversation.ts:106:17
forwardRef,2.779,2.779,../../packages/ui/src/components/ui/carousel.tsx:203:11
useQuery,2.766,2.766,src/app/(protectedPage)/(mainPage)/workspaces/[workspaceId]/_component/formList.tsx:24:8
text,2.741,2.741,../../packages/db/src/schema/workspaces/workspace.ts:8:10
mutation,2.724,3.556,../../packages/api/src/router/form.ts:278:13
slice,2.698,11.636,../../packages/ui/src/components/ui/use-toast.ts:72:23
map,2.694,2.694,src/app/(protectedPage)/(mainPage)/dashboard/_components/recentResponseCard.tsx:84:8
forwardRef,2.694,3.124,../../packages/ui/src/components/ui/toast.tsx:89:19
Identifier: any,2.660,2.660,src/components/formViewer/topProgressBar.tsx:13:11
relations,2.658,56.757,../../packages/db/src/schema/formFields/formField.ts:24:55
forwardRef,2.635,2.635,../../packages/ui/src/components/ui/select.tsx:28:5
mutation,2.624,6.180,../../packages/api/src/router/form.ts:251:15
