Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
"Identifier: ({ title, description, fl",0.820,0.820,1,src/app/dashboard/[serverId]/channels/page.tsx:404:6,0.820
classNames,0.818,0.818,1,../../packages/ui/src/pricing.tsx:142:7,0.818
Identifier: typeof Stripe,0.802,0.802,1,../../packages/core/src/stripe.ts:5:3,0.802
Identifier: (props: { faqs: { questio,0.800,0.400,2,../../packages/ui/src/pricing.tsx:292:24,0.743
addFlagsToChannel,0.783,0.783,1,../../packages/core/src/channel.ts:113:8,0.783
FirstPunctuation: any,0.779,0.779,1,../../packages/api/src/router/vercel-domains.ts:156:8,0.779
Identifier: (props: { proPlanCheckout,0.772,0.772,1,src/app/dashboard/[serverId]/settings/components.tsx:62:12,0.772
"Identifier: ""$active_feature_flags""",0.730,0.730,1,../../packages/core/src/analytics.events.ts:457:14,0.730
json,0.722,0.722,1,../../packages/core/src/schema.ts:502:10,0.722
snowflake,0.655,0.655,1,../../packages/core/src/schema.ts:319:12,0.655
assertBoolsAreNotEqual,0.642,0.214,3,../../packages/api/src/router/user-server-settings.ts:146:25,0.309
stripPrivateServerData,0.624,0.312,2,../../packages/core/src/message.ts:612:13,0.369
"Identifier: typeof import(""/home/ssal",0.619,0.619,1,../../node_modules/@radix-ui/react-accordion/dist/index.d.mts:79:71,0.619
Identifier: ForwardRefExoticComponent,0.605,0.302,2,../../packages/ui/src/ui/tabs.tsx:36:4,0.323
setData,0.602,0.602,1,src/app/dashboard/[serverId]/settings/page.tsx:48:4,0.602
Identifier: NextApiRequest,0.579,0.579,1,src/pages/api/auth/[...nextauth].ts:10:15,0.579
Identifier: (props: ServerCardProps) ,0.575,0.575,1,../../packages/ui/src/server-card.tsx:97:10,0.575
upsertDiscordAccount,0.562,0.562,1,../../packages/core/src/user-server-settings.ts:243:9,0.562
int,0.552,0.184,3,../../packages/core/src/schema.ts:209:16,0.322
Identifier: unknown,0.551,0.184,3,../../packages/core/src/analytics.ts:192:7,0.331
Identifier: (props: SVGProps<SVGSVGEl,0.529,0.529,1,../../packages/ui/src/navbar/user-dropdown.tsx:49:3,0.529
Identifier: Metadata,0.503,0.503,1,../../packages/ui/src/layouts/root.tsx:6:13,0.503
on,0.488,0.488,1,../../packages/core/src/cache.ts:16:6,0.488
findDiscordAccountById,0.487,0.487,1,../../packages/api/src/router/discord-accounts.ts:34:17,0.487
getDefaultDiscordAccount,0.485,0.243,2,../../packages/core/src/discord-account.ts:70:43,0.365
Identifier: (props: Omit<Omit<AnchorH,0.465,0.232,2,src/app/dashboard/[serverId]/components/navbar.tsx:73:7,0.462
default,0.451,0.451,1,../../packages/env/src/web-schema.mjs:10:13,0.451
Identifier: { type: number; id: strin,0.430,0.430,1,../../packages/core/src/pages.ts:348:32,0.430
getServersForOnboarding,0.424,0.212,2,src/app/page.tsx:5:7,0.281
getFakeData,0.406,0.406,1,src/app/dashboard/[serverId]/components/home.tsx:148:26,0.406
Identifier: { type: number; id: strin,0.401,0.401,1,../../packages/core/src/pages.ts:402:8,0.401
"Identifier: ""fbclid""",0.379,0.379,1,../../packages/core/src/analytics.events.ts:10222:14,0.379
limit,0.371,0.371,1,../../packages/core/src/channel.ts:351:7,0.371
getPageViewsForServer,0.367,0.367,1,../../packages/api/src/router/dashboard.ts:28:12,0.367
Identifier: { server: { description: ,0.354,0.354,1,../../packages/core/src/pages.ts:394:47,0.354
getTenantCookieName,0.344,0.172,2,src/pages/api/auth/[...nextauth].ts:10:15,0.281
setDate,0.337,0.169,2,../../packages/ui/src/ui/date-picker.tsx:28:14,0.190
"Identifier: Record<""canPubliclyDispla",0.325,0.163,2,../../packages/core/src/user-server-settings.ts:76:4,0.187
Identifier: CreateRouterInner<RootCon,0.307,0.307,1,../../packages/api/src/router/discord-accounts.ts:89:36,0.307
Identifier: ChannelType.GuildText | C,0.304,0.152,2,src/app/dashboard/[serverId]/channels/page.tsx:63:6,0.187
"Identifier: { compare: ""exact""; prope",0.294,0.294,1,../../packages/core/src/analytics.ts:19:17,0.294
"Identifier: ""Answer Overflow Account ",0.282,0.282,1,../../packages/core/src/analytics.events.ts:5085:14,0.282
Identifier: MapConstructor,0.282,0.282,1,../../packages/core/src/server.ts:224:18,0.282
Identifier: { id: string; name: strin,0.281,0.281,1,../../packages/api/src/router/trpc.ts:60:9,0.281
Identifier: { title: string; cta: str,0.278,0.139,2,../../packages/ui/src/pricing.tsx:180:48,0.177
retrieve,0.246,0.061,4,../../packages/core/src/stripe.ts:14:21,0.101
Identifier: ForwardRefExoticComponent,0.242,0.242,1,../../packages/ui/src/pricing.tsx:113:3,0.242
Identifier: NonNullable<{ readonly st,0.241,0.241,1,src/app/dashboard/[serverId]/components/navbar.tsx:41:5,0.241
addDays,0.237,0.237,1,../../packages/ui/src/ui/date-picker.tsx:29:12,0.237
makeMessageWithAuthor,0.209,0.209,1,../../packages/core/src/message.ts:136:22,0.209
pop,0.206,0.206,1,src/app/dashboard/page.tsx:8:7,0.206
assertIsUser,0.202,0.101,2,../../packages/api/src/router/discord-accounts.ts:45:27,0.148
Identifier: { bitfield: number; serve,0.197,0.197,1,../../packages/core/src/user-server-settings.ts:74:6,0.197
Identifier: ZodObject<{ id: ZodString,0.195,0.195,1,../../packages/core/src/auth.ts:609:53,0.195
"Identifier: Readonly<{ NODE_ENV: ""dev",0.195,0.195,1,../../packages/env/src/web-schema.mjs:8:13,0.195
"Identifier: ""IGNORED_ACCOUNT"" | ""NOT_",0.193,0.193,1,../../packages/core/src/utils/operations.ts:64:39,0.193
Identifier: Promise<(Awaited<G> | Awa,0.193,0.193,1,../../packages/api/src/utils/protected-procedures.ts:144:8,0.193
"Identifier: Pick<ServerWithFlags, ""fl",0.193,0.193,1,../../packages/core/src/message.ts:105:22,0.193
Identifier: ForwardRefExoticComponent,0.185,0.185,1,src/app/dashboard/[serverId]/components/domain.tsx:122:5,0.185
Identifier: ForwardRefExoticComponent,0.185,0.185,1,src/app/dashboard/[serverId]/components/home.tsx:235:8,0.185
goToPage,0.179,0.089,2,src/app/onboarding/OnboardingPages.tsx:186:29,0.141
Identifier: string | undefined,0.176,0.176,1,../../packages/core/src/analytics.ts:47:6,0.176
where,0.165,0.165,1,../../packages/core/src/discord-account.ts:117:22,0.165
findManyIgnoredDiscordAccountsById,0.152,0.152,1,../../packages/core/src/discord-account.ts:49:31,0.152
Identifier: CreateRouterInner<RootCon,0.149,0.149,1,../../packages/api/src/router/user-server-settings.ts:213:40,0.149
cast,0.145,0.073,2,../../packages/core/src/db.ts:33:9,0.121
updateManyChannels,0.143,0.143,1,../../packages/core/src/channel.ts:334:24,0.143
valueOf,0.138,0.035,4,../../packages/core/src/pages.ts:179:15,0.082
getRedisClient,0.136,0.136,1,../../packages/core/src/auth.ts:744:8,0.136
"Identifier: typeof import(""/home/ssal",0.128,0.128,1,../../node_modules/@redis/client/dist/lib/client/commands.d.ts:223:29,0.128
Identifier: CreateRouterInner<RootCon,0.125,0.125,1,../../packages/api/src/utils/types.ts:4:31,0.125
Identifier: { indexingEnabled?: boole,0.123,0.123,1,../../packages/core/src/channel.ts:46:7,0.123
Identifier: ServerCardProps,0.123,0.123,1,../../packages/ui/src/server-card.tsx:98:14,0.123
findManyChannelsById,0.118,0.118,1,../../packages/core/src/channel.ts:326:14,0.118
getDomainStatus,0.118,0.118,1,../../packages/api/src/router/server.ts:195:10,0.118
"Identifier: Pick<T, K>",0.113,0.113,1,../../packages/ui/src/server-card.tsx:29:19,0.113
Identifier: { isTenantSession: boolea,0.111,0.111,1,../../packages/api/src/router/context.ts:27:8,0.111
groupBy,0.103,0.103,1,../../packages/core/src/channel.ts:155:12,0.103
transform,0.082,0.082,1,../../packages/env/src/shared-schema.mjs:13:13,0.082
Identifier: undefined,0.074,0.074,1,../../packages/core/src/analytics.ts:193:17,0.074
Identifier: ({ server }: Pick<ServerC,0.053,0.053,1,../../packages/ui/src/server-card.tsx:29:6,0.053
"Identifier: ""$identify""",0.044,0.044,1,../../packages/core/src/analytics.events.ts:455:12,0.044
"Identifier: ""You cannot grant consent",0.039,0.039,1,../../packages/core/src/user-server-settings.ts:26:13,0.039
"Identifier: ""$pageleave""",0.031,0.031,1,../../packages/core/src/analytics.events.ts:10220:13,0.031
setTimeout,0.030,0.030,1,src/app/onboarding/OnboardingPages.tsx:186:22,0.030
findManyDiscordAccountsById,0.027,0.027,1,../../packages/core/src/discord-account.ts:112:8,0.027
"Identifier: ""Server Join""",0.022,0.022,1,../../packages/core/src/analytics.events.ts:5083:16,0.022
Identifier: ForwardRefExoticComponent,0.016,0.016,1,src/app/dashboard/[serverId]/channels/page.tsx:318:6,0.016
Identifier: <T>(props: { isError: boo,0.010,0.010,1,src/app/dashboard/[serverId]/components/home.tsx:124:6,0.010
"Identifier: ""$geoip_longitude""",0.006,0.006,1,../../packages/core/src/analytics.events.ts:5121:6,0.006
"Identifier: ""$geoip_continent_code""",0.006,0.006,1,../../packages/core/src/analytics.events.ts:545:6,0.006
"Identifier: ""$geoip_city_name""",0.003,0.003,1,../../packages/core/src/analytics.events.ts:10270:6,0.003
