Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
Identifier: { identifier: string; tok,0.356,0.356,1,../server/model/auth.ts:263:13,0.356
getMinimumUnit,0.356,0.356,1,../server/utils/common.ts:199:11,0.356
Identifier: ForwardRefExoticComponent,0.355,0.355,1,routes/playground.tsx:66:9,0.355
String,0.354,0.177,2,components/monitor/provider/ping.tsx:29:45,0.246
handleChangeGroupTitle,0.343,0.171,2,components/monitor/StatusPage/ServiceList.tsx:160:38,0.218
"Identifier: typeof import(""/home/ssal",0.325,0.325,1,components/ui/chart.tsx:106:21,0.325
Identifier: OPENAPI_TAG[],0.321,0.321,1,../server/trpc/routers/feed/index.ts:468:13,0.321
last,0.317,0.106,3,components/monitor/StatusPage/StatusHeader.tsx:93:32,0.172
take,0.308,0.154,2,components/survey/SurveyCategoryChart.tsx:41:23,0.240
Identifier: typeof OPENAPI_TAG,0.306,0.102,3,../server/trpc/routers/feed/index.ts:469:14,0.117
isArray,0.297,0.149,2,components/CommonList.tsx:121:18,0.160
unix,0.284,0.095,3,components/server/ServerRowExpendView.tsx:111:18,0.180
guess,0.278,0.278,1,routes/settings/workspace.tsx:175:11,0.278
"Identifier: typeof import(""/home/ssal",0.273,0.137,2,../../node_modules/.pnpm/@radix-ui+react-menu@2.0.6_@types+react-dom@18.2.7_@types+react@18.2.78_react-dom@18.2.0_react@18.2.0__react@18.2.0/node_modules/@radix-ui/react-menu/dist/index.d.ts:54:67,0.189
Identifier: ErrorConstructor,0.261,0.131,2,../server/model/billing/index.ts:155:10,0.218
Identifier: { user: { id: string; use,0.261,0.261,1,../server/model/auth.ts:244:35,0.261
entries,0.250,0.250,1,components/ui/chart.tsx:74:22,0.250
substring,0.243,0.121,2,../server/model/website/index.ts:201:29,0.195
Identifier: SortableContextProps<T>,0.241,0.241,1,components/Sortable/SortableContext.tsx:16:8,0.241
useIsLogined,0.236,0.236,1,api/socketio.ts:165:8,0.236
Identifier: false,0.233,0.233,1,routes/website/$websiteId/index.tsx:183:21,0.233
Identifier: MemoryCache,0.227,0.227,1,../server/cache/index.ts:17:9,0.227
callback,0.219,0.110,2,../server/ws/shared.ts:87:6,0.170
Identifier: ForwardRefExoticComponent,0.214,0.214,1,components/ui/dropdown-menu.tsx:95:4,0.214
"Identifier: typeof import(""/home/ssal",0.208,0.104,2,components/ui/dropdown-menu.tsx:96:31,0.120
checkEnvTrusty,0.193,0.048,4,../server/utils/env.ts:19:23,0.078
createWorkspacePermissionMiddleware,0.193,0.193,1,../server/trpc/trpc.ts:134:8,0.193
appendAssistantResponse,0.191,0.191,1,components/ai/store.ts:53:44,0.191
Identifier: CompoundedComponent,0.191,0.095,2,routes/login.tsx:101:8,0.155
describe,0.189,0.189,1,utils/health.spec.ts:7:39,0.189
"Identifier: Router<Route<any, ""/"", ""/",0.186,0.186,1,App.tsx:30:19,0.186
error,0.182,0.061,3,components/survey/SurveyDownloadBtn.tsx:113:22,0.091
Identifier: BuiltRouter<{ ctx: { toke,0.181,0.181,1,../server/trpc/routers/index.ts:34:31,0.181
