Function Name,Self (ms),Duration (ms),Location
getWorkspaceWebsiteStats,0.247,12.736,../server/trpc/routers/website.ts:226:44
meta,0.247,10.266,../server/trpc/routers/survey.ts:103:18
lazy,0.246,26.352,../server/prisma/zod/monitor.ts:43:79
create,0.246,3.002,../server/model/auditLog.ts:14:10
String,0.246,0.246,components/monitor/provider/ping.tsx:29:45
useEvent,0.245,4.442,routes/settings/apiKey.tsx:125:10
map,0.244,5.502,components/insights/TableView.tsx:63:15
$transaction,0.244,6.863,../server/trpc/routers/workspace.ts:61:29
string,0.244,5.023,components/monitor/StatusPage/EditForm.tsx:39:10
useMemo,0.243,19.469,routes/settings/apiKey.tsx:40:27
groupBy,0.243,0.343,../server/trpc/routers/website.ts:279:24
findFirst,0.243,2.344,../server/trpc/routers/feed/integration.ts:324:32
useMutation,0.243,1.783,routes/survey/$surveyId/edit.tsx:28:8
memo,0.243,0.251,components/website/WebsiteConfig.tsx:105:13
query,0.242,3.188,../server/trpc/routers/monitor.ts:538:19
Identifier: SortableContextProps<T>,0.241,0.241,components/Sortable/SortableContext.tsx:16:8
useEvent,0.241,133.747,components/CommandPanel/index.tsx:51:11
lazy,0.241,16.812,../server/prisma/zod/survey.ts:36:77
map,0.240,46.102,../server/utils/sandbox.ts:82:20
useMemo,0.240,29.418,components/survey/useSurveyListColumns.tsx:26:27
memo,0.240,0.879,components/monitor/MonitorInfo.tsx:216:15
take,0.240,3.131,components/survey/SurveyCategoryChart.tsx:41:23
join,0.240,20.043,../server/model/website/insights.ts:58:130
memo,0.240,4.252,components/feed/FeedChannelEditForm.tsx:164:27
query,0.238,13.140,../server/trpc/routers/ai.ts:84:25
FirstBinaryOperator: any,0.238,0.238,routes/settings/workspace.tsx:244:25
mutation,0.238,13.811,../server/trpc/routers/user.ts:119:23
lazy,0.238,16.286,../server/prisma/zod/session.ts:22:79
create,0.237,1.938,../server/model/user.ts:170:20
memo,0.236,0.236,components/layout/DesktopLayout.tsx:146:11
useIsLogined,0.236,1636.256,api/socketio.ts:165:8
useMutation,0.235,0.370,routes/server.tsx:47:35
findUnique,0.235,13.863,../server/model/user.ts:367:23
map,0.235,6.811,../server/trpc/routers/website.ts:106:25
memo,0.234,0.933,components/survey/SurveyUsageBtn.tsx:25:73
query,0.234,5.137,../server/trpc/routers/monitor.ts:621:12
t,0.234,6.529,components/billing/usePlans.tsx:58:8
takeRight,0.234,1.115,components/monitor/StatusPage/StatusHeader.tsx:83:24
all,0.234,1.363,../server/model/monitor/manager.ts:108:8
memo,0.233,0.761,components/modals/NotificationInfo/strategies/apprise.tsx:10:17
array,0.233,7.812,../server/trpc/routers/monitor.ts:46:21
Identifier: false,0.233,0.239,routes/website/$websiteId/index.tsx:183:21
memo,0.233,16.019,components/insights/TableView.tsx:24:8
query,0.233,4.169,../server/trpc/routers/survey.ts:468:12
meta,0.231,5.533,../server/trpc/routers/feed/integration.ts:14:14
object,0.230,3.210,../server/trpc/routers/ai.ts:39:22
meta,0.230,2.084,../server/trpc/routers/website.ts:569:14
query,0.229,1.697,../server/trpc/routers/survey.ts:92:12
createCheckout,0.229,1.163,../server/model/billing/index.ts:102:15
memo,0.228,1.308,components/CommandPanel/index.tsx:246:13
mutation,0.228,6.467,../server/trpc/routers/workspace.ts:257:15
createClient,0.228,16.297,api/trpc.ts:32:26
query,0.228,4.395,../server/trpc/routers/feed/index.ts:48:23
aggregate,0.227,7.983,../server/model/workspace.ts:65:12
Identifier: MemoryCache,0.227,1.908,../server/cache/index.ts:17:9
mutation,0.227,3.511,../server/trpc/routers/monitor.ts:781:14
lazy,0.226,17.029,../server/prisma/zod/feedevent.ts:40:83
display,0.225,1.131,components/server/ServerRowExpendView.tsx:38:12
lazy,0.225,11.844,../server/prisma/zod/workspacetask.ts:9:46
lazy,0.225,11.190,../server/prisma/zod/monitordata.ts:21:87
useEventWithLoading,0.225,164.281,routes/settings/billing.tsx:50:74
useEvent,0.225,0.432,routes/page/add.tsx:29:23
mutateAsync,0.225,0.225,routes/feed/$channelId/edit.tsx:38:22
object,0.225,12.337,../server/model/monitor/provider/openai.ts:27:6
memo,0.224,0.224,components/modals/NotificationInfo/strategies/smtp.tsx:71:9
buildQueryWithCache,0.224,2.692,../server/model/billing/workspace.ts:53:22
useEvent,0.223,0.664,routes/settings/notifications.tsx:40:8
includes,0.222,3.901,../server/model/auth.ts:80:10
map,0.222,0.880,components/survey/SurveyEditForm.tsx:141:25
mutation,0.222,3.469,../server/trpc/routers/feed/index.ts:382:13
query,0.221,2.919,../server/trpc/routers/telemetry.ts:42:12
t,0.221,0.848,routes/survey.tsx:91:22
forEach,0.220,0.684,components/survey/SurveyCategoryChart.tsx:51:24
query,0.219,10.350,../server/trpc/routers/website.ts:661:12
handleChangeGroupTitle,0.218,0.343,components/monitor/StatusPage/ServiceList.tsx:160:38
lazy,0.218,18.492,../server/prisma/zod/websiteeventdata.ts:27:97
count,0.218,0.218,../server/trpc/routers/monitor.ts:470:23
object,0.218,51.109,../server/model/_schema/feed.ts:30:13
Identifier: ErrorConstructor,0.218,0.261,../server/model/billing/index.ts:155:10
useReactTable,0.217,0.360,components/DataTable.tsx:52:31
object,0.216,9.364,../server/model/monitor/provider/openai.ts:12:20
forwardRef,0.216,10.610,components/ui/chart.tsx:108:6
use,0.216,9.297,components/MarkdownEditor/plugins.ts:5:39
all,0.216,12.501,../server/model/workspace.ts:77:60
router,0.216,18.864,../server/trpc/routers/index.ts:19:10
object,0.216,13.183,../server/model/monitor/provider/openai.ts:6:43
query,0.215,15.102,../server/trpc/routers/workspace.ts:383:12
meta,0.215,2.299,../server/trpc/routers/website.ts:569:14
input,0.215,60.014,../server/trpc/trpc.ts:128:34
lazy,0.215,12.390,../server/prisma/zod/monitorstatuspage.ts:39:99
Identifier: ForwardRefExoticComponent,0.214,0.423,components/ui/dropdown-menu.tsx:95:4
parse,0.213,3.941,../server/trpc/routers/website.ts:714:15
pick,0.213,7.176,../server/trpc/routers/feed/index.ts:328:12
useMutation,0.213,0.213,components/monitor/useMonitorAction.ts:25:35
lazy,0.213,9.924,../server/prisma/zod/lemonsqueezywebhookevent.ts:8:46
get,0.213,0.213,../server/trpc/trpc.ts:22:55
enum,0.213,1.362,../server/utils/schema.ts:30:12
forwardRef,0.212,7.345,components/ui/separator.tsx:6:6
query,0.211,2.698,../server/trpc/routers/telemetry.ts:54:13
useRef,0.210,0.210,hooks/useStrokeDasharray.ts:115:8
findFirst,0.210,2.727,../server/model/billing/credit.ts:10:8
anonymous,0.210,0.610,routes/switchWorkspace.tsx:29:9
findFirst,0.209,0.209,../server/model/workspace.ts:7:11
memo,0.209,0.775,components/website/WebsiteOverview.tsx:20:13
getState,0.209,0.209,api/socketio.ts:17:15
mutateAsync,0.208,0.783,routes/website/add.tsx:52:8
router,0.208,104.615,../server/trpc/routers/index.ts:27:10
mutation,0.208,2.673,../server/trpc/routers/feed/index.ts:348:22
memo,0.208,0.732,components/CommandPanel/index.tsx:145:15
useQuery,0.208,0.208,routes/survey.tsx:31:40
array,0.208,6.947,../server/utils/schema.ts:33:20
useEvent,0.208,0.208,routes/page/add.tsx:29:33
anonymous,0.207,4.653,routes/login.tsx:22:14
map,0.207,2.746,components/DataTable.tsx:101:22
enum,0.205,1.568,../server/utils/schema.ts:30:12
object,0.205,14.970,components/monitor/StatusPage/EditForm.tsx:35:6
display,0.205,0.601,components/server/ServerRowExpendView.tsx:72:30
Nodemailer,0.204,7.013,../server/model/auth.ts:67:16
mutation,0.204,3.421,../server/trpc/routers/monitor.ts:277:15
object,0.204,4.499,../server/prisma/zod/workspace.ts:11:13
keys,0.204,15.253,../server/trpc/routers/website.ts:238:20
next,0.204,29.092,../server/trpc/trpc.ts:72:13
forwardRef,0.203,12.668,components/ui/dropdown-menu.tsx:45:6
display,0.203,0.267,components/server/ServerRowExpendView.tsx:30:29
create,0.202,4.758,../server/model/website/index.ts:190:8
router,0.201,203.013,../server/trpc/routers/index.ts:21:13
t,0.201,3.615,routes/page.tsx:88:11
query,0.201,3.277,../server/trpc/routers/monitor.ts:80:12
useMemo,0.200,6.719,components/DateFilter.tsx:25:12
mutation,0.200,3.563,../server/trpc/routers/survey.ts:298:15
memo,0.199,0.199,components/Sortable/StrictModeDroppable.tsx:24:22
mutation,0.199,4.182,../server/trpc/routers/workspace.ts:106:30
anonymous,0.199,2.856,routes/__root.tsx:11:66
Identifier: Date | null,0.198,10.541,../server/model/workspace.ts:70:9
object,0.198,0.975,../server/prisma/zod/telemetry.ts:5:13
findFirst,0.198,5.235,../server/model/auth.ts:282:13
update,0.197,1.454,../server/model/monitor/manager.ts:37:25
useMemo,0.197,1.340,hooks/useFuseSearch.ts:17:10
lazy,0.197,14.168,../server/prisma/zod/monitorevent.ts:22:89
forwardRef,0.197,7.452,components/ui/checkbox.tsx:7:6
"Identifier: ""submit""",0.196,0.550,routes/website/add.tsx:110:24
forwardRef,0.196,3.800,components/ui/form.tsx:109:6
findUnique,0.196,14.059,../server/model/user.ts:367:23
object,0.195,7.181,../server/trpc/routers/auditLog.ts:30:16
object,0.195,2.747,../server/prisma/zod/workspaceauditlog.ts:6:13
lazy,0.195,19.042,../server/prisma/zod/websiteevent.ts:30:89
substring,0.195,0.243,../server/model/website/index.ts:201:29
router,0.195,51.845,../server/trpc/routers/index.ts:30:11
useQuery,0.195,0.195,components/monitor/StatusPage/useAllowEdit.ts:12:7
t,0.195,5.854,routes/website/$websiteId/index.tsx:147:13
