Function Name,Self (ms),Duration (ms),Location
union,5.957,5.957,src/components/new-participant-modal.tsx:33:15
mutateAsync,5.953,5.953,src/components/new-participant-modal.tsx:112:11
handleSubmit,5.931,5.931,src/app/[locale]/(admin)/settings/profile/delete-account-dialog.tsx:51:11
mutation,5.912,5.912,src/trpc/routers/polls.ts:361:15
fromNow,5.907,5.907,src/components/event-card.tsx:43:11
update,5.906,5.906,src/app/api/stripe/webhook/handlers/customer-subscription/created.ts:42:10
Identifier: (<Props extends {}>(Compo,5.903,11.745,src/components/poll/score-summary.tsx:42:7
forwardRef,5.902,5.902,../../packages/ui/src/dropdown-menu.tsx:134:30
query,5.894,7.574,src/trpc/routers/polls/comments.ts:24:12
forwardRef,5.883,5.883,../../packages/ui/src/tooltip.tsx:19:71
Identifier: any,5.873,5.873,src/components/vote-summary-progress-bar.tsx:29:11
Identifier: any,5.853,5.948,src/app/[locale]/(admin)/settings/billing/page.tsx:110:21
Identifier: (<Props extends {}>(Compo,5.843,5.843,src/components/poll/score-summary.tsx:42:8
query,5.828,5.828,src/trpc/routers/polls/participants.ts:84:12
forwardRef,5.806,5.806,../../packages/ui/src/avatar.tsx:25:20
t,5.776,5.776,src/app/[locale]/(admin)/polls/page.tsx:24:9
fetchRequestHandler,5.757,6.071,src/app/api/trpc/[trpc]/route.ts:17:9
FirstBinaryOperator: any,5.740,5.740,../../packages/emails/src/templates/new-comment.tsx:45:15
Identifier: any,5.718,5.718,src/components/event-card.tsx:45:15
map,5.695,5.695,src/features/quick-create/quick-create-widget.tsx:49:16
use,5.673,5.673,src/trpc/routers/user.ts:161:22
Identifier: any,5.668,5.668,src/app/[locale]/(admin)/dashboard.tsx:27:11
forwardRef,5.638,6.638,../../packages/ui/src/button.tsx:79:21
map,5.635,5.635,src/features/quick-create/quick-create-widget.tsx:49:37
Identifier: any,5.624,5.624,src/app/[locale]/quick-create/page.tsx:24:13
getValues,5.624,5.624,src/components/forms/poll-options-form/poll-options-form.tsx:79:18
Identifier: any,5.619,5.619,src/app/components/page-layout.tsx:57:9
Identifier: any,5.615,5.615,src/components/poll/scheduled-event.tsx:89:11
t,5.606,5.606,src/app/[locale]/(admin)/settings/profile/delete-account-dialog.tsx:79:15
map,5.544,5.749,src/components/poll/mobile-poll.tsx:107:60
t,5.490,6.938,src/components/discussion/discussion.tsx:114:18
mutateAsync,5.479,5.479,src/components/user-provider.tsx:119:18
object,5.463,5.463,src/components/settings/date-time-preferences.tsx:21:19
forwardRef,5.454,5.454,../../packages/ui/src/toast.tsx:57:20
cn,5.426,5.426,src/components/container.tsx:7:11
Identifier: any,5.387,5.387,src/components/forms/poll-options-form/month-calendar/month-calendar.tsx:105:15
Identifier: any,5.373,5.373,src/components/event-card.tsx:27:7
startsWith,5.343,5.343,src/app/[locale]/(admin)/sidebar.tsx:68:9
map,5.331,5.331,src/components/poll/desktop-poll/poll-header.tsx:83:15
forwardRef,5.329,5.329,../../packages/ui/src/dropdown-menu.tsx:95:4
cn,5.312,5.312,src/app/components/page-layout.tsx:71:9
router,5.265,20.243,src/trpc/routers/auth.ts:16:20
create,5.237,5.237,src/trpc/routers/auth.ts:114:25
t,5.230,5.230,src/app/[locale]/quick-create/page.tsx:29:9
Identifier: ForwardRefExoticComponent,5.225,5.225,src/app/[locale]/invite/[urlId]/nav.tsx:19:9
useMutation,5.198,8.329,src/components/participant-dropdown.tsx:191:24
forwardRef,5.186,5.186,../../packages/ui/src/select.tsx:54:32
Identifier: { prismaGlobal: PrismaCli,5.186,5.186,../../packages/database/index.ts:15:15
Identifier: any,5.175,5.175,src/components/layouts/poll-layout.tsx:51:9
Identifier: any,5.157,5.157,src/app/[locale]/(admin)/sidebar.tsx:116:21
input,5.131,16.392,src/trpc/routers/polls.ts:258:10
Identifier: any,5.112,5.112,src/app/[locale]/(admin)/settings/billing/page.tsx:164:54
Identifier: any,5.056,5.056,src/features/quick-create/quick-create-widget.tsx:88:11
Identifier: FC<Readonly<Omit<Detailed,5.055,5.055,../../packages/emails/src/components/styled-components.tsx:119:11
Identifier: any,5.026,5.026,src/app/[locale]/invite/[urlId]/invite-page.tsx:24:11
Identifier: any,5.014,5.014,src/components/poll/desktop-poll.tsx:295:21
findUniqueOrThrow,5.010,5.010,src/trpc/routers/polls/participants.ts:296:15
mutateAsync,4.954,6.567,src/components/discussion/discussion.tsx:104:11
Identifier: any,4.948,4.948,src/app/[locale]/(admin)/polls/user-polls.tsx:167:11
Identifier: any,4.885,4.885,src/components/error-page.tsx:28:11
