Function Name,Total Self (ms),Avg Self (ms),Call Count,Top Location,Top Self (ms)
dayjsLocalizer,0.356,0.356,1,src/components/forms/poll-options-form/week-calendar.tsx:17:6,0.356
useUtils,0.344,0.344,1,src/components/poll/mutations.ts:19:41,0.344
Identifier: FC<DialogProps>,0.329,0.329,1,src/components/clock.tsx:94:11,0.329
Identifier: InfiniteData<{ polls: { t,0.324,0.162,2,src/app/[locale]/(admin)/polls/user-polls.tsx:46:8,0.164
Identifier: ({ id: string; timeZone?:,0.300,0.100,3,src/components/user-provider.tsx:96:17,0.161
isSame,0.297,0.099,3,src/components/forms/poll-options-form/dayjs-localizer.ts:293:11,0.128
Identifier: { title: ReactNode; descr,0.278,0.278,1,src/components/settings/settings.tsx:36:9,0.278
trigger,0.260,0.260,1,src/components/forms/poll-settings.tsx:150:39,0.260
getByText,0.254,0.127,2,tests/register-page.ts:11:10,0.129
usePlan,0.240,0.240,1,src/contexts/plan.tsx:43:20,0.240
"Identifier: Map<string, Timeout>",0.232,0.232,1,../../packages/ui/src/hooks/use-toast.ts:54:6,0.232
afterAll,0.228,0.114,2,tests/next-auth-migration.spec.ts:20:30,0.178
"Identifier: Control<ChangeNameForm, a",0.195,0.098,2,src/components/participant-dropdown.tsx:249:23,0.132
originalFn,0.191,0.191,1,src/trpc/client.ts:5:13,0.191
"Identifier: { ({ title, hostName, pol",0.186,0.186,1,../../packages/emails/src/templates/finalized-participant.tsx:110:3,0.186
Identifier: ForwardRefExoticComponent,0.183,0.183,1,../../packages/ui/src/dialog.tsx:42:4,0.183
Identifier: ForwardRefExoticComponent,0.160,0.160,1,../../packages/ui/src/tabs.tsx:37:4,0.160
describe,0.150,0.150,1,tests/edit-options.spec.ts:4:51,0.150
extend,0.146,0.073,2,src/trpc/routers/scheduled-events.ts:10:23,0.129
"StringLiteral: ""@rallly/database""",0.146,0.146,1,next.config.js:20:21,0.146
Identifier: Event,0.139,0.139,1,src/app/api/stripe/webhook/handlers/payment-method/attached.ts:7:24,0.139
Identifier: EmailContext,0.133,0.067,2,../../packages/emails/src/templates/new-participant.tsx:38:16,0.109
onOk,0.131,0.131,1,src/components/modal/use-modal.tsx:17:13,0.131
Identifier: (props: Readonly<HeadingP,0.114,0.114,1,../../packages/emails/src/components/styled-components.tsx:85:13,0.114
useUnmount,0.101,0.101,1,src/components/create-poll.tsx:65:6,0.101
Identifier: string | null,0.094,0.047,2,src/app/api/stripe/checkout/route.ts:56:6,0.054
load,0.089,0.089,1,tests/vote-and-comment.spec.ts:60:14,0.089
text,0.089,0.089,1,src/app/api/stripe/webhook/route.ts:10:13,0.089
useMount,0.088,0.088,1,src/components/poll/use-touch-beacon.ts:16:12,0.088
"Identifier: { textAlign: ""center""; fo",0.071,0.071,1,../../packages/emails/src/templates/register.tsx:43:14,0.071
"Identifier: ""requireParticipantEmailL",0.065,0.065,1,src/components/forms/poll-settings.tsx:124:29,0.065
diff,0.059,0.059,1,src/components/forms/poll-options-form/dayjs-localizer.ts:226:11,0.059
encrypt,0.058,0.058,1,tests/helpers/next-auth-v4.ts:30:9,0.058
"Identifier: ""paid"" | ""free""",0.031,0.031,1,src/contexts/plan.tsx:46:7,0.031
waitFor,0.024,0.024,1,tests/register-page.ts:10:39,0.024
Identifier: UserData,0.013,0.013,1,src/contexts/permissions.tsx:34:43,0.013
"Identifier: ({ className, ...props }:",0.011,0.011,1,src/app/[locale]/(admin)/settings/billing/page.tsx:141:17,0.011
subtract,0.008,0.008,1,tests/house-keeping.spec.ts:237:37,0.008
